Name,Date,Time,Venue,Address,Tickets Buying Urls,Filter
Eric Benét  at Yoshi's,,"8:00 PM GMT-5,8:15 PM GMT-5",Yoshi's,"510 Embarcadero West, Oakland, CA",https://festivaly.eu/en/eric-benet-yoshis-oakland-2023-5 | https://ticketliquidator.auhm.net/c/266168/181694/2085?prodsku=5451174&u=https%3A%2F%2Fwww.ticketliquidator.com%2Ftickets%2F5451174%2FEric-Benet-tickets-Tue-Feb-14-2023-Yoshi%27s---Oakland&intsrc=CATF_1315 | https://www.shareasale.com/m-pr.cfm?merchantID=76847&userID=479796&productID=1281905863 | https://www.ticketcity.com/san-francisco-tickets/yoshis-jazz-club-oakland-tickets/eric-benet-feb-14-2023-4214913.html?aid=2658 | https://www.visitoakland.com/event/eric-ben%C3%A9t-at-yoshis/29559/,today
SF's Winterfest Beer & Comedy Festival 2023 at Speakeasy Brewery,,,Speakeasy Ales & Lagers,"1195 Evans Ave, San Francisco, CA",https://www.todaytix.com/sf-bay-area/shows/27629-sfs-winterfest-beer-and-comedy-festival-2023-at-speakeasy-brewery,today
Mean Girls,,,Golden Gate Theatre,"1 Taylor St, San Francisco, CA",https://www.san-francisco-theater.com/index_2018_tony_nominee.php,today
Jazz at Donato Enoteca,,,Donato Enoteca,"1041 Middlefield Rd, Redwood City, CA",https://jazzonthego.com/event/4623907/594506263/jazz-at-donato-enoteca,today
Salsa Rueda Festival,,,Salsa Rueda Festival,"1231 Market St, San Francisco, CA",https://www.oaklandhs.com/events/san-francisco/salsa-rueda-festival-6059982 | https://10times.com/rueda-festival,today
Dear Evan Hansen,,"7:30 PM GMT-5,4:00 PM GMT-5",Orpheum Theatre,"1192 Market St, San Francisco, CA","https://m.facebook.com/events/orpheum-theatre/dear-evan-hansen/2161654477341666/ | https://www.san-francisco-theater.com/index_prestige.php | https://www.mybeehive.com/event/DEAR-EVAN-HANSEN,-Orpheum-Theatre,-San-Francisco,-CA-%E2%80%94-ANTHONY-NORMAN/5707713 | https://www.irl.com/dear-evan-hansen-touring/sEq9kPjBX8",today
Getting There,,,New Conservatory Theatre Center,"25 Van Ness Avenue, Lower Lobby, San Francisco, CA",https://eventseeker.com/san-francisco/feb-3-2023/438078107-getting-there,today
San Francisco Beer Week,,,"San Francisco, CA",,https://rove.me/to/san-francisco/san-francisco-beer-week,today
Champagne Cabaret: The Book of Love,,,Great Star Theater,"636 Jackson St, San Francisco, CA",https://feverup.com/m/124354 | https://www.greatstartheater.org/champagne-cabaret?aff=listing | https://fever.pxf.io/c/266168/1396783/16345?prodsku=124354&u=https%3A%2F%2Ffeverup.com%2Fm%2F124354&intsrc=CATF_10347 | https://eventseeker.com/venue/872350-great-star-theater-san-francisco | https://www.sfstation.com/the-great-star-theater-b264523,today
Toxic Thots Comedy: a standup show in a plant store,,"8:00 PM GMT-5,9:30 PM GMT-5",Planterday,"6004 College Ave, Oakland, CA",https://www.eventbrite.com/e/toxic-thots-comedy-a-standup-show-in-a-plant-store-tickets-528865319407 | https://allevents.in/oakland/toxic-thots-comedy-a-standup-show-in-a-plant-store/10000528865319407,today
Imanbek Door,,,Temple Nightclub San Francisco,"540 Howard St, San Francisco, CA",https://www.eventbrite.com/e/imanbek-at-temple-sf-tickets-483604202187 | https://app.discotech.me/events/37313649-imanbek-at-temple | https://allevents.in/san%20francisco/imanbek-at-temple-sf/200023886134154 | https://dothebay.com/events/2023/2/18/imanbek-tickets | https://www.tixr.com/groups/templesf/events/imanbek-door-62722,tomorrow
Sister Nancy,,,The Chapel,"777 Valencia St, San Francisco, CA",https://www.closeseats.com/san-francisco/reggae/sister-nancy-tickets/5455018 | https://dothebay.com/events/2023/2/18/sister-nancy-tickets | https://www.stubhub.com/sister-nancy-san-francisco-tickets-2-18-2023/event/151227205/ | https://www.unation.com/event/sister-nancy-13438574 | https://www.rateyourseats.com/mobile/tickets/events/sister-nancy-february-18-2023-4222825,tomorrow
